fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 001901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	999983	0.154586378101027	0.20007136779681	7998	2048	0.016807410830288	13642000	89
20220529 001917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	999983	0.09021641885182	0.200195369812934	7855	1253	0.0162603265384326	13314000	90
20220529 001924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	999983	0.29917879562767	0.999897834985818	7998	454	0.0152679763821559	12299000	91
20220529 001935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.299797500998728	0.519496235297666	7997	2048	0.0156521450952153	12446000	92
20220529 001946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	999983	0.182433595752891	0.203287745482659	4038	1283	0.0161057024450486	12670000	93
20220529 001955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	999983	0.299821800660341	0.20032773613539	7984	29	0.0307598510256993	11493000	94
20220529 002006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.299874626954653	0.212075831446265	1504	180	0.0167430200240256	11794000	95
20220529 002027	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	999983	0.0477638691191384	0.696492677554312	7969	501	0.00835709302726505	11075000	96
20220529 002124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	475	TRUE	999983	0.0101811243677218	0.986845998761604	7497	135	0.0260910030398862	11821000	97
20220529 002135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	999983	0.171661020882301	0.292386340456762	7995	2048	0.0318335967923763	11262000	98
20220529 002144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	999983	0.299858145920151	0.506252238703135	5705	78	0.0170414219952626	12582000	99
20220529 002152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	999983	0.299804912326131	0.998499067370129	5161	2047	0.0177807482353319	12338000	100
20220529 002257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	480	TRUE	999983	0.0100265817773145	0.757541194432997	5242	1278	0.0159308081379067	13293000	101
20220529 002413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	437	TRUE	999983	0.0126129676942809	0.665566672283081	2023	1276	0.0163274674157654	13898000	102
20220529 002544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	707	TRUE	999983	0.0101282417379527	0.202944502113654	6388	914	0.0159548581325235	13416000	103
20220529 002556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	999983	0.208710688209525	0.220215713512626	6341	2047	0.0166731187732726	13086000	104
20220529 002744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	705	TRUE	999983	0.0101207050846105	0.204358989406622	1715	242	0.0278167348161605	11762000	105
20220529 002903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	517	TRUE	999983	0.0110571683648046	0.683048221586784	3798	927	0.0162920985774784	13678000	106
20220529 002927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	999983	0.0482693514758316	0.639985320720654	2189	2047	0.0173127094823023	13780000	107
20220529 003049	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	446	TRUE	999983	0.0105440005649657	0.916304754275658	1892	468	0.0144808312417001	13211000	108
20220529 003058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	999983	0.299832483477126	0.99972789858326	2419	2046	0.0172347398725073	11787000	109
20220529 003117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	999983	0.0647806392861393	0.201054267946718	4648	2001	0.0165049820788527	13311000	110
20220529 003313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1050	TRUE	999983	0.0136456233488782	0.201554824632777	3108	1832	0.0175313233978732	13315000	111
20220529 003325	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	999983	0.234920253986227	0.515540911019589	4642	2042	0.0172994048636089	12849000	112
20220529 003347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	999983	0.071250609269834	0.517814675851696	5448	1278	0.0152237899729616	13599000	113
20220529 003400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	999983	0.155486742770523	0.997927473792078	7985	2047	0.0165925668215368	12877000	114
20220529 003539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	498	TRUE	999983	0.0117095156724048	0.345828867974686	1759	1263	0.0165297699339471	13490000	115
20220529 003548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.299564177430283	0.999922769763706	3726	482	0.0164060794261659	11543000	116
20220529 003646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	999983	0.0140249613775693	0.750257367299427	2568	2041	0.0168723118468246	13641000	117
20220529 003704	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	999983	0.0784007754788044	0.314163073856296	7579	2048	0.0162786519873604	13072000	118
20220529 003722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	999983	0.0766313126849228	0.999943677447031	1921	2047	0.0240961741370278	12026000	119
20220529 003730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	999983	0.299993603199637	0.999958679810029	7981	1638	0.0211979765132564	12396000	120
